Res1;Res2;Res3;Res4;Res5;Res6;Res7;Res8;Res9
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.843771411;1.40891563;1.104096771;2.28970956;0.290372161;0.131043372;8.006797762;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
0.156837703;3.047515434;1.958079536;3.652358001;1.054725304;0.024357949;10.54813258;;;
